case_id,t_state,t_county,p_name,p_year,p_tnum,t_manu,t_model,t_cap,t_ttlh,xlong,ylat,Range
3028844,TX,Sterling County,Panther Creek III,2009,133,GE Wind,GE1.5-77,1500,118.6,-101.11969,31.959894,1000 - 2000
3032755,TX,San Patricio County,Papalote Creek,2009,109,Vestas,V82-1.65,1650,121.0,-97.42729200000001,27.967396,1000 - 2000
3041831,PA,Cambria County,Patton Wind Farm,2012,15,Gamesa,G97-2.0,2000,148.4,-78.69749499999999,40.636292,2000 - 3000
3019039,CO,Logan County,Peetz Table,2007,267,GE Wind,GE1.5-77,1500,118.6,-103.339394,40.957091999999996,1000 - 2000
3022848,CO,Logan County,Peetz Table,2007,267,GE Wind,GE1.5-77,1500,118.6,-103.216988,40.955395,1000 - 2000
3041444,AK,Kodiak Island Borough,Pillar Mountain II,2012,3,GE Wind,GE1.5-77,1500,118.6,-152.460083,57.783501,1000 - 2000
3017206,IA,Pocahontas County,Pomeroy II,2007,49,GE Wind,GE1.5-77,1500,118.6,-94.734695,42.562191,1000 - 2000
3012879,CO,Weld County,Ponnequin (PSCo),2001,15,Vestas,V47-0.66,660,88.4,-104.80699200000001,40.990894,< 1000
3067177,IA,Mahaska County,Prairie,2017,82,Vestas,V110-2.0,2000,150.0,-92.661713,41.419498,2000 - 3000
3066463,IA,Mahaska County,Prairie,2017,82,Vestas,V110-2.0,2000,150.0,-92.701988,41.448776,2000 - 3000
3038006,MN,Rock County,Prairie Rose,2012,119,GE Wind,GE1.68-82.5,1680,121.3,-96.33919499999999,43.782191999999995,1000 - 2000
3075191,IL,Macon County,Radford's Run,2017,139,Vestas,V110-2.0,2200,150.0,-89.052513,39.993171999999994,2000 - 3000
3066547,OK,Grady County,Redbed Plains,2017,31,Gamesa,G114-2.1,2100,150.0,-97.889771,35.281509,2000 - 3000
3077551,OK,Kay County,Rock Falls,2017,51,Siemens,SWT-2.625-120,2625,145.1,-97.41681700000001,36.914291,2000 - 3000
3020244,TX,Nolan County,Roscoe,2008,209,Mitsubishi,MWT62/1.0,1000,99.7,-100.613991,32.446396,1000 - 2000
3020220,TX,Mitchell County,Roscoe,2008,209,Mitsubishi,MWT62/1.0,1000,99.7,-100.71299,32.491592,1000 - 2000
3055150,TX,Carson County,Route 66,2015,75,Vestas,V110-2.0,2000,135.0,-101.51602199999999,35.214806,2000 - 3000
3076070,TX,Irion County,Santa Rita,2018,120,GE Wind,GE2.5-116,2500,148.1,-101.247208,31.198881,2000 - 3000
3052449,OK,Dewey County,Seiling,2014,117,GE Wind,GE1.7-100,1700,130.1,-98.928154,36.099354,1000 - 2000
3052457,OK,Dewey County,Seiling,2014,117,GE Wind,GE1.7-100,1700,130.1,-98.874374,36.099815,1000 - 2000
3034686,IL,Iroquois County,Settler's Trail,2011,94,GE Wind,GE1.6-82.5,1600,121.3,-87.569397,40.734192,1000 - 2000
3034713,IL,Iroquois County,Settler's Trail,2011,94,GE Wind,GE1.6-82.5,1600,121.3,-87.610497,40.719691999999995,1000 - 2000
3033648,OR,Gilliam County,Shepherds Flat,2011,82,GE Wind,GE2.5-100,2500,135.0,-120.04488400000001,45.772095,2000 - 3000
3016990,CA,Solano County,Shiloh Wind Project,2006,24,GE Wind,GE1.5-77,1500,103.6,-121.86039,38.148193,1000 - 2000
3003177,CA,Kern County,Sky River,1990,342,Vestas,V27,225,43.5,-118.23958600000002,35.236496,< 1000
3024708,OK,Harper County,Sleeping Bear,2007,45,Suzlon,S88,2100,123.1,-99.47219100000001,36.649796,2000 - 3000
3055664,TX,Floyd County,South Plains,2015,100,Vestas,V100-2.0,2000,130.1,-101.367599,34.108311,2000 - 3000
3069766,KS,Ford County,Spearville,2006,67,GE Wind,GE1.5-77,1500,118.6,-99.76666999999999,37.880188000000004,1000 - 2000
3044556,TX,Borden County,Stephens Ranch 1,2014,118,GE Wind,GE1.79-100,1790,130.1,-101.617699,32.902134000000004,1000 - 2000
3044465,TX,Lynn County,Stephens Ranch 1,2014,118,GE Wind,GE1.79-100,1790,130.1,-101.690872,32.963974,1000 - 2000
3044480,TX,Lynn County,Stephens Ranch II,2015,92,GE Wind,GE1.79-100,1790,130.1,-101.621071,32.965034,1000 - 2000
3075569,OK,Noble County,Thunder Ranch,2017,109,GE Wind,GE2.5-116,2500,148.1,-97.316383,36.570564000000005,2000 - 3000
3052970,ND,Adams County,Thunder Spirit,2015,43,Nordex,N100,2500,130.1,-102.6194,46.065414000000004,2000 - 3000
3070297,IA,Worth County,Top of Iowa II,2008,40,Gamesa,G87-2.0,2000,121.6,-93.33062,43.373203000000004,2000 - 3000
3032127,WY,Converse County,Top of the World,2010,66,GE Wind,GE1.5-77,1500,118.6,-105.78498799999998,42.960892,1000 - 2000
3048024,WA,Columbia County,Tucannon River,2014,116,Siemens,SWT-2.3-108,2300,134.1,-118.022697,46.394356,2000 - 3000
3082287,CA,San Diego County,Tule,2018,57,GE Wind,GE2.3-107,2300,133.5,-116.28511,32.767395,2000 - 3000
3023890,TX,Nolan County,Turkey Track,2008,113,GE Wind,GE1.5-77,1500,118.6,-100.25209,32.234394,1000 - 2000
3023205,CO,Bent County,Twin Buttes,2007,50,GE Wind,GE1.5-77,1500,118.6,-102.907791,37.654392,1000 - 2000
3022077,IL,McLean County,Twin Groves I,2007,120,Vestas,V82-1.65,1650,121.0,-88.676796,40.461292,1000 - 2000
3050770,MT,Wheatland County,Two Dot,2014,6,GE Wind,GE1.62-87,1620,123.4,-110.08488500000001,46.445492,1000 - 2000
3045279,WA,Kittitas County,Vantage Point,2010,60,GE Wind,GE1.5-77,1500,118.6,-120.19528999999999,46.960396,1000 - 2000
3069774,IA,Carroll County,Victory,2006,66,GE Wind,GE1.6-87,1600,123.4,-95.058983,42.148666,1000 - 2000
3015035,OK,Custer County,Weatherford Wind Energy Center,2005,71,GE Wind,GE1.5-77,1500,118.6,-98.762695,35.503296,1000 - 2000
3028095,IA,Franklin County,Whispering Willow I,2009,121,Vestas,V82-1.65,1650,121.0,-93.31369000000001,42.655392,1000 - 2000
3028038,IA,Franklin County,Whispering Willow I,2009,121,Vestas,V82-1.65,1650,121.0,-93.190292,42.632591,1000 - 2000
3018537,WA,Klickitat County,White Creek,2007,89,Siemens,SWT-2.3-93,2300,126.5,-120.34198799999999,45.815495,2000 - 3000
3029494,WA,Kittitas County,Wild Horse II,2009,22,Vestas,V80-2.0,2000,107.0,-120.21868899999998,47.062893,2000 - 3000
